season,season_id,category_base,stage,status,targets_total,targets_completed,targets_failed,started_at,last_updated_at,completed_at,notes,gh_run_id,gh_run_branch
2024-2025,20,ALEVIN,fichajugador,complete,146013,146013,0,2026-08-06T01:16:56.119888+00:00,2026-08-06T01:16:56.630714+00:00,2026-08-06T01:16:56.628535+00:00,,31062034774,crawl/fichajugador-ALEVIN-2024-2025-20260806T011639Z
2024-2025,20,BENJAMIN,fichajugador,complete,146013,146013,0,2026-08-06T01:06:20.514033+00:00,2026-08-06T01:06:32.505400+00:00,2026-08-06T01:06:32.503559+00:00,,31061501790,crawl/fichajugador-BENJAMIN-2024-2025-20260806T010604Z
2024-2025,20,CADETE,fichajugador,complete,146013,146013,0,2026-08-06T01:37:36.579082+00:00,2026-08-06T01:37:37.245009+00:00,2026-08-06T01:37:37.242760+00:00,,31063029240,crawl/fichajugador-CADETE-2024-2025-20260806T013719Z
2024-2025,20,INFANTIL,fichajugador,complete,146013,146013,0,2026-08-06T01:27:21.428930+00:00,2026-08-06T01:27:22.082317+00:00,2026-08-06T01:27:22.080092+00:00,,31062526964,crawl/fichajugador-INFANTIL-2024-2025-20260806T012704Z
2024-2025,20,JUVENIL,fichajugador,complete,146013,146013,0,2026-08-06T01:48:57.546878+00:00,2026-08-06T01:48:57.907431+00:00,2026-08-06T01:48:57.905242+00:00,,31063516094,crawl/fichajugador-JUVENIL-2024-2025-20260806T014840Z
2024-2025,20,PREBENJAMIN,fichajugador,complete_with_failures,146013,146013,6,2026-08-05T23:17:54.428095+00:00,2026-08-06T00:55:48.261356+00:00,2026-08-06T00:55:48.258969+00:00,,31055058872,crawl/fichajugador-PREBENJAMIN-2024-2025-20260805T231737Z
2024-2025,20,SENIOR,fichajugador,complete,146013,146013,0,2026-08-06T02:10:12.014025+00:00,2026-08-06T02:10:12.527990+00:00,2026-08-06T02:10:12.525675+00:00,,31064587024,crawl/fichajugador-SENIOR-2024-2025-20260806T020955Z
2024-2025,20,UNIVERSITARIO,fichajugador,complete,146013,146013,0,2026-08-06T02:30:12.242493+00:00,2026-08-06T02:30:12.419706+00:00,2026-08-06T02:30:12.417785+00:00,,31065563979,crawl/fichajugador-UNIVERSITARIO-2024-2025-20260806T022952Z
2024-2025,20,VETERANOS,fichajugador,complete,146013,146013,0,2026-08-06T02:20:01.746477+00:00,2026-08-06T02:20:02.147521+00:00,2026-08-06T02:20:02.145611+00:00,,31065090333,crawl/fichajugador-VETERANOS-2024-2025-20260806T021945Z
2025-2026,21,AFICIONADO,acta_partido,complete,10407,10407,0,2026-08-05T04:17:53.330750+00:00,2026-08-05T04:45:36.065143+00:00,2026-08-05T04:45:36.062761+00:00,,30974574541,crawl/acta_partido-AFICIONADO-2025-2026-20260805T041737Z
2025-2026,21,ALEVIN,acta_partido,complete,20680,20680,0,2026-08-04T19:00:18.314081+00:00,2026-08-04T21:23:26.643649+00:00,2026-08-04T21:23:26.641292+00:00,,30941062728,crawl/acta_partido-ALEVIN-2025-2026-20260804T190003Z
2025-2026,21,BENJAMIN,acta_partido,complete,15733,15733,0,2026-08-02T12:21:43.359967+00:00,2026-08-02T12:58:55.573690+00:00,2026-08-02T12:58:55.571401+00:00,,,
2025-2026,21,CADETE,acta_partido,complete,18089,18089,0,2026-08-05T02:36:59.826457+00:00,2026-08-05T03:21:22.421166+00:00,2026-08-05T03:21:22.418757+00:00,,30969726643,crawl/acta_partido-CADETE-2025-2026-20260805T023643Z
2025-2026,21,DEBUTANTE,acta_partido,complete,1691,1691,0,2026-08-05T02:06:32.642312+00:00,2026-08-05T02:12:11.666357+00:00,2026-08-05T02:12:11.663817+00:00,,30968309688,crawl/acta_partido-DEBUTANTE-2025-2026-20260805T020615Z
2025-2026,21,INFANTIL,acta_partido,complete,17917,17917,0,2026-08-04T23:43:20.976513+00:00,2026-08-05T00:14:28.234436+00:00,2026-08-05T00:14:28.232196+00:00,,30960853693,crawl/acta_partido-INFANTIL-2025-2026-20260804T234308Z
2025-2026,21,JUVENIL,acta_partido,complete,16338,16338,0,2026-08-05T03:27:58.376245+00:00,2026-08-05T04:11:15.163887+00:00,2026-08-05T04:11:15.161647+00:00,,30972184893,crawl/acta_partido-JUVENIL-2025-2026-20260805T032742Z
2025-2026,21,PREBENJAMIN,acta_partido,complete,7618,7618,0,2026-08-02T00:39:28.296452+00:00,2026-08-02T00:40:43.423502+00:00,2026-08-02T00:40:43.420710+00:00,,,
2025-2026,21,SENIOR,acta_partido,complete,292,292,0,2026-08-05T04:52:47.496991+00:00,2026-08-05T04:53:56.380750+00:00,2026-08-05T04:53:56.378352+00:00,,30976227835,crawl/acta_partido-SENIOR-2025-2026-20260805T045232Z
2025-2026,21,UNIVERSITARIO,acta_partido,complete,190,190,0,2026-08-05T05:08:28.928698+00:00,2026-08-05T05:09:03.013072+00:00,2026-08-05T05:09:03.010941+00:00,,30977021034,crawl/acta_partido-UNIVERSITARIO-2025-2026-20260805T050813Z
2025-2026,21,VETERANOS,acta_partido,complete,67,67,0,2026-08-05T05:01:08.831564+00:00,2026-08-05T05:01:23.619425+00:00,2026-08-05T05:01:23.617317+00:00,,30976634901,crawl/acta_partido-VETERANOS-2025-2026-20260805T050053Z
2025-2026,21,ALL,clubs,complete_with_failures,1146,1146,326,2026-08-03T00:55:34.560156+00:00,2026-08-03T01:19:36.062936+00:00,2026-08-03T01:19:36.061131+00:00,,,
2025-2026,21,ALL,core,complete,1210,1210,0,2026-08-02T23:43:04.554556+00:00,2026-08-03T00:49:45.528434+00:00,2026-08-03T00:49:45.526877+00:00,,,
2025-2026,21,AFICIONADO,fichajugador,complete,150088,150088,0,2026-08-05T11:33:57.087936+00:00,2026-08-05T11:33:57.257149+00:00,2026-08-05T11:33:57.255208+00:00,,31001669654,crawl/fichajugador-AFICIONADO-2025-2026-20260805T113335Z
2025-2026,21,ALEVIN,fichajugador,complete,150088,150088,0,2026-08-05T10:27:42.306096+00:00,2026-08-05T10:59:54.400436+00:00,2026-08-05T10:59:54.397996+00:00,,30996891533,crawl/fichajugador-ALEVIN-2025-2026-20260805T102723Z
2025-2026,21,BENJAMIN,fichajugador,complete,27547,27547,0,2026-08-02T21:49:04.818319+00:00,2026-08-02T23:06:11.180545+00:00,2026-08-02T23:06:11.178258+00:00,,,
2025-2026,21,CADETE,fichajugador,complete,150088,150088,0,2026-08-05T11:17:12.392487+00:00,2026-08-05T11:17:12.438687+00:00,2026-08-05T11:17:12.436507+00:00,,31000568515,crawl/fichajugador-CADETE-2025-2026-20260805T111652Z
2025-2026,21,INFANTIL,fichajugador,complete,150088,150088,0,2026-08-05T11:08:43.691718+00:00,2026-08-05T11:08:44.340444+00:00,2026-08-05T11:08:44.338261+00:00,,30999998239,crawl/fichajugador-INFANTIL-2025-2026-20260805T110823Z
2025-2026,21,JUVENIL,fichajugador,complete,150088,150088,0,2026-08-05T11:25:20.295391+00:00,2026-08-05T11:25:20.875710+00:00,2026-08-05T11:25:20.873909+00:00,,31001123930,crawl/fichajugador-JUVENIL-2025-2026-20260805T112505Z
2025-2026,21,PREBENJAMIN,fichajugador,complete,9743,9743,0,2026-08-01T23:27:47.844547+00:00,2026-08-01T23:27:47.848158+00:00,2026-08-01T23:27:47.845539+00:00,,,
2025-2026,21,SENIOR,fichajugador,complete,150088,150088,0,2026-08-05T11:41:54.687987+00:00,2026-08-05T11:41:55.042310+00:00,2026-08-05T11:41:55.040064+00:00,,31002227960,crawl/fichajugador-SENIOR-2025-2026-20260805T114138Z
2025-2026,21,UNIVERSITARIO,fichajugador,complete,150088,150088,0,2026-08-05T11:58:46.530726+00:00,2026-08-05T11:58:47.044326+00:00,2026-08-05T11:58:47.042186+00:00,,31003359601,crawl/fichajugador-UNIVERSITARIO-2025-2026-20260805T115830Z
2025-2026,21,VETERANOS,fichajugador,complete,150088,150088,0,2026-08-05T11:50:15.595327+00:00,2026-08-05T11:50:15.643655+00:00,2026-08-05T11:50:15.641409+00:00,,31002785165,crawl/fichajugador-VETERANOS-2025-2026-20260805T114959Z
